name;Add;Sub;Mult;Div;For;While;Print;Mod;If;Eq;Is
Binarni cislo;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00
Binarni zapis;0.00;0.00;0.00;2.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00
Caesarova sifra;1.00;1.00;0.00;3.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00
Ciferny soucet;0.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00
Cik-cak;0.00;1.00;0.00;0.00;0.00;3.00;0.00;1.00;1.00;0.00;1.00
Ctverec;2.00;0.00;0.00;6.00;0.00;1.00;0.00;0.00;0.00;4.00;0.00
Delitele;0.00;1.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00
Diamant;0.00;2.00;0.00;3.00;0.00;3.00;0.00;0.00;0.00;0.00;1.00
Dvojnasobek;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00
Faktorial;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00
Fibonacciho posloupnost;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
Frekvencni analyza;1.00;2.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;2.00
Mocniny dvojky;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00
Nejdelsi slovo;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00
Nejvetsi spolecny delitel;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00
Palindrom;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00
Pascaluv trojuhelnik;1.00;3.00;0.00;2.00;0.00;2.00;1.00;0.00;0.00;2.00;0.00
Pocet delitelu;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00
Podmnoziny;0.00;4.00;0.00;1.00;0.00;2.00;0.00;0.00;1.00;0.00;2.00
Presmycky;0.00;0.00;0.00;0.00;0.00;4.00;0.00;0.00;1.00;0.00;1.00
Prvni pismena;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;2.00;0.00;1.00
Sachovnice;0.00;2.00;0.00;1.00;0.00;3.00;0.00;1.00;1.00;0.00;1.00
Soucet;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Suda cisla;0.00;1.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00
Tajna posloupnost;0.00;1.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00
Transpozicni sifra;0.00;1.00;0.00;3.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00
Trojuhelnik;1.00;2.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00
Velke X;2.00;2.00;0.00;0.00;0.00;3.00;0.00;0.00;2.00;0.00;1.00
Vsechny presmicky;0.00;3.00;0.00;3.00;0.00;1.00;0.00;0.00;1.00;0.00;2.00
Vypis prvocisel;1.00;1.00;0.00;3.00;1.00;1.00;0.00;1.00;2.00;0.00;2.00
